Metric,Tip
transfers,If call drops during transfer - call customer back immediately - don't wait
transfers,Build relationships with other departments so warm transfers are smoother
transfers,Know what your department can and can't do - over-transferring costs you ownership
transfers,Reach out to a peer with low transfers to see how they're handling them
transfers,Resist the urge to transfer just because a call is getting hard - that's where learning happens
transfers,If you keep transferring because you don't have access to something - ask your supe whether you can get that access
transfers,Apologize in advance for any wait: 'They may have a short wait - thanks for hanging in'
transfers,Track your personal transfer rate daily - awareness alone reduces it
transfers,Before transferring ask yourself 'Have I done everything I can to help them?'
transfers,If same transfer type happens 3+ times in a week - request training on that topic
transfers,Some transfers ARE appropriate - don't feel bad about proper escalations
transfers,Do a 20-second brief: customer name - issue summary - attempt history
transfers,A high bill question is yours, not another team's
transfers,Learn everything you can do on a payment arrangement before you hand one off
transfers,If you're transferring because you're unsure, say what you're unsure about first, someone may answer it in ten seconds
transfers,Check whether the team you're about to send them to is even open
transfers,If they've already been transferred once today, work harder to keep it
transfers,Ask what they were told last time before you send them back to the same place
transfers,If the answer is sitting in the notes, don't transfer for it
transfers,A transfer to the wrong team costs the customer twice
transfers,Say what you're transferring for, not just where you're sending them
transfers,If you're sending them to credit or collections, explain what will happen there
transfers,Sending someone back to the automated line still feels like a transfer to them
transfers,Keep a short list of what you handed off this week and pick one to learn
transfers,Same transfer three times in a week is a training request, not a habit
transfers,Ownership means you know where it went and that it landed
transfers,Ask a peer first, most of the time the answer is somewhere on your floor
transfers,A transfer you can explain is fine, a transfer you can't is a knowledge gap
transfers,If you're transferring to get out of a hard conversation, that's the call worth staying on
transfers,Don't promise what the next team will do, tell them what the next team handles
transfers,If the customer is upset, warn the next rep, walking in blind makes it worse
transfers,Check whether you actually have access before you assume you don't
aht,Keep a quick reference sheet where you can see it - faster than searching mid-call
aht,Memorize top 5 most common customer questions to avoid looking up every time
aht,Practice your greeting and closing so they flow without stalling - smooth pace beats fumbling through them
aht,Type account notes WHILE talking - not in silence after
aht,Have frequently-used links bookmarked and organized in toolbar
aht,Work both monitors on every call - account and notes on one - your lookup tools on the other - alt-tabbing costs you seconds every single call
aht,Learn keyboard shortcuts for your main programs - mouse clicking adds 5-10 seconds per call
aht,Don't over-explain simple things - 'Your payment is due the 15th' not a 3-minute explanation of billing cycles
aht,Review your longest calls weekly - find your time-wasters and eliminate them
aht,Don't type a full sentence when a phrase will do - notes are for you not a novel
aht,Identify your 2 slowest tasks and find a faster way - almost all of your time savings will come from those two
aht,Pre-fill customer verification info during greeting not in silence afterward
aht,Verify identity every single time - but don't re-ask for background the notes already spell out
aht,Keep the things you look up most within one click - hunting for them is pure handle time
aht,If customer is rambling - gently redirect: 'So what I'm hearing is X - let me solve that'
aht,Avoid over-apologizing - one genuine 'I'm sorry for the wait' is enough
aht,Have a ready opener for the answers you know cold - 'Great question - here's how that works' - so you're not stalling while you get your thoughts together
aht,If you realize mid-call you took the wrong path - pivot fast - don't compound
aht,If you need to look up 3 things - look them all up in one trip instead of bouncing back and forth between screens
aht,Wrap counts in your handle time - a short accurate note costs you less than a long one
aht,Stop multi-tasking on simple calls - focus equals speed
aht,Keep a notepad of your common call types and the notes you use for them - beats retyping the same thing every call
aht,Listen fully the first time so customer doesn't have to repeat themselves
aht,Role-play your top 3 call types with a peer weekly - muscle memory wins
aht,Handle time isn't talking fast, it's not repeating steps
aht,Pull the account while you're greeting them, not after
aht,Ask the one question that tells you what kind of call this is, then stop asking
aht,Long calls usually start with a slow first minute
aht,If you're explaining a bill three different ways, pick the number that matters and lead with it
aht,Read the last note before you ask them to walk you through the history
aht,Say the numbers once clearly instead of three times quickly
aht,If you know the answer by their second sentence, go to it
aht,Batch your lookups, get everything you need in one trip through the screens
aht,Tell them what you're doing, not how you're doing it, they don't need the clicks
aht,Have the amounts and dates in front of you before you start explaining them
aht,When someone needs to vent about the bill, let them, then bring it back to one thing
aht,Your longest calls are usually two calls stacked, name both up front and take them in order
aht,If the same screen is slow every day, log it so we can push on it
aht,Same greeting every time, no thinking required
aht,Stop rechecking work you already checked
aht,If they've gone quiet they're reading, ask instead of waiting
aht,Compare your longest call this week to your shortest of the same type, the gap is the lesson
aht,Most customers want the number and the date, not the history lesson
aht,Saying it straight takes less time than talking around it
acw,Start documentation DURING the call not after - fill in account notes while talking
acw,Keep your common note phrases saved somewhere you can paste from - 'Customer called regarding billing question' shouldn't be retyped 20 times a day
acw,Write the note in the same order every time - your hands stop deciding what comes next
acw,Use consistent abbreviations so you type faster - create your own shorthand system
acw,Don't write a novel - brief accurate notes are better than essays
acw,If call was simple - notes can be simple: 'Changed due date to 20th per customer request'
acw,Write the note for the next person who opens this account - not for yourself
acw,Resist rewriting a note you already finished - your first pass is usually good enough
acw,If your ACW is high - time yourself on next 5 calls to see where seconds go
acw,Set a personal ACW goal - try to beat your own time each day
acw,Use a 3-line note template: what issue / what action / what to watch for
acw,If you promised the customer something - write that part of the note first while the wording is still exact
acw,Note what you told the customer would happen - that's the line the next rep actually needs
acw,Close unneeded windows between calls - don't hunt through 10 tabs during wrap
acw,Be consistent with your wrap codes - the same situation should get the same code every time
acw,If ACW crept up over past week - review what changed in your process
acw,On a repeat caller the prior note gives you the background - yours only has to say what changed
acw,Stuck on wording? Write what you did and what happens next - that is the whole note
acw,If wrap requires a follow-up - do the follow-up action FIRST then note second
acw,Finish the note before you go available - one you come back to takes twice as long
acw,Don't overthink the perfect note - good enough beats perfect and late
acw,Decide your wrap code during the call not after it
acw,Review your saved note phrases monthly - delete anything that's out of date
acw,Log any system issues that slow you down - once we can show a pattern we can push to get it fixed
acw,Write while they're talking, not after they hang up
acw,Three lines is usually plenty, what they called about, what you did, what's next
acw,Dates and amounts belong in the note, adjectives don't
acw,If the note takes longer than the fix, the note is too long
acw,Don't retype what the system already recorded on its own
acw,Note the promise, not the conversation
acw,Name the plan or program exactly, the next rep shouldn't have to guess which one
acw,If you left something open, say who owns it
acw,Skip the greeting and the pleasantries, nobody reads those
acw,Same words every time for the same call type
acw,If the note has to be long, say why in the first line
acw,A note nobody can act on is time spent for nothing
acw,Don't save the hard note for last, write it while it's fresh
acw,Check your wrap number at the end of each day, not the end of the month
acw,If you're still wrapping when the next call rings, wrap is too long
acw,The note is a record, write it like someone will read it back to you
holdTime,Default to narrating instead of holding for lookups - 'I'm pulling up your account now' keeps them with you - reserve hold for when you genuinely can't talk through it
holdTime,Keep frequently used screens already open in browser tabs
holdTime,Learn keyboard shortcuts for your main tools - mouse clicking adds 5-10 seconds per call
holdTime,Ask ALL your questions before putting customer on hold - don't hold multiple times
holdTime,If you need to research - estimate time: 'This may take 2-3 minutes - are you able to hold?'
holdTime,Check in every 30-45 seconds during long holds: 'Still researching - appreciate your patience'
holdTime,Keep your lookup tools open in their own tab - ready before you need them
holdTime,Learn where information lives in systems - don't hunt around while customer waits
holdTime,Practice navigation - the faster you move through screens the less customers wait
holdTime,Never place a customer on hold to check personal notifications or messages
holdTime,Set a mental timer: 90 seconds on hold feels like 5 minutes to the customer
holdTime,If customer declines hold - talk them through what you're doing
holdTime,For short pauses under 30 seconds - keep talking through what you're doing rather than dropping into silence - quiet feels longer than the actual time
holdTime,Come back with what you found - 'Thanks for holding - here's what I've got' beats a second apology
holdTime,Pull customer info during greeting verification so you don't need to hold later
holdTime,If customer asks a second question while you're already searching - note it and address both
holdTime,Don't hold to 'think' - just explain you're considering options out loud
holdTime,If the system is slow - acknowledge it: 'My system is loading - thanks for your patience'
holdTime,Hold music is not connection - always check in - silence means they hang up
holdTime,Practice navigating your systems during downtime so it's muscle memory
holdTime,If you were trained to hold for a certain task - check whether you can actually do that task while still talking to the customer
holdTime,Prep for common call types at start of shift - know where things live
holdTime,Tell them how long, then beat it
holdTime,If you can talk while you look, talk
holdTime,Two short holds feel longer to them than one honest one
holdTime,Coming back with nothing is worse than never leaving
holdTime,Ask for everything you need before the hold starts
holdTime,If the system is dragging, say so, silence reads as being ignored
holdTime,Don't hold to read a note you could have read during the greeting
holdTime,If you need a second hold, explain why before you go
holdTime,Give them something to do while you're gone, having the account number ready keeps them with you
holdTime,Hold is for the system, not for your thinking
holdTime,If they're angry, hold makes it worse, keep talking
holdTime,A long hold on a billing call means it got complicated, tell them that
holdTime,Come back inside your estimate even if you're not done, then give a new one
holdTime,Practice the three lookups you do most until they don't need a hold at all
holdTime,If you're holding to ask a peer, tell them that's what you're doing
holdTime,Don't come back with 'sorry about that', come back with what you found
holdTime,Look at the hold time on your last five calls, you'll remember them shorter than they were
holdTime,If it's going to take five minutes, that isn't a hold, tell them what you'll do instead
overallSentiment,Smile while talking - customers hear it in your voice even on the phone
overallSentiment,Use customer's name at least twice during call - beginning and end
overallSentiment,Match the customer's energy level - if they're calm be calm - if concerned show empathy
overallSentiment,Lead with empathy by naming the SPECIFIC thing - not 'I understand' but 'I hear you on that double charge - let's get it sorted' - generic empathy reads as scripted
overallSentiment,Sound genuinely interested - not robotic - vary your tone
overallSentiment,Use their words back: If they say 'bill is confusing' say 'Let me clarify that confusing bill'
overallSentiment,End on positive note even if you couldn't do everything: 'I'm glad I could at least help with X'
overallSentiment,Acknowledge their effort: 'I appreciate you calling in about this instead of letting it slide'
overallSentiment,Don't go quiet - if you're thinking say 'Let me think about the best way to help you here'
overallSentiment,Thank them for patience if call took longer: 'Thanks for bearing with me on that'
overallSentiment,Greet the customer with genuine energy - your first 5 seconds set the tone
overallSentiment,Mirror back emotions: 'You sound really frustrated - I get it - let's fix this'
overallSentiment,Use open-ended acknowledgment like 'Tell me more about that'
overallSentiment,Don't interrupt - even if you know the answer - let them finish
overallSentiment,Say 'absolutely' and 'of course' - they signal willingness and partnership
overallSentiment,Avoid monotone - vary pitch like you're telling a story to a friend
overallSentiment,Ask 'How can I make this right for you?' on escalated calls - gives them agency
overallSentiment,Thank them for being a customer - specific if you can
overallSentiment,If customer shares personal context - acknowledge briefly before moving on
overallSentiment,Avoid 'per our policy' - use 'here's what I can do'
overallSentiment,Laugh when they joke - don't stay corporate-robot in casual moments
overallSentiment,End calls with warmth: 'Take care' beats 'Have a good day' for connection
overallSentiment,If you made an error - own it cleanly: 'That's on me - let me fix it'
overallSentiment,Be conversational - 'Yeah absolutely' sounds human - not robotic
overallSentiment,Use inclusive 'we' language instead of 'you' - feels like teamwork
overallSentiment,The first ten seconds set the tone, they can hear whether you're ready
overallSentiment,Use their name again after verification, not just in the greeting
overallSentiment,If they're worried about money, don't sound casual about the amount
overallSentiment,Slow down for the numbers, speed up for the small talk
overallSentiment,If they've called before, acknowledge it, 'I see you called last week' goes a long way
overallSentiment,Don't sound like you're reading the account, sound like you understand it
overallSentiment,Give them a number they won't like, then stop and let them react
overallSentiment,If they mention a fixed income, that changes how you talk about the amount
overallSentiment,A customer who feels rushed remembers the rush, not the fix
overallSentiment,Warmth isn't length, a short call can be a kind one
overallSentiment,Ask before you explain, some people want the number and nothing else
overallSentiment,If they apologize for being upset, tell them they're fine
overallSentiment,Say it the way you'd want it said to you about your own bill
overallSentiment,Let them finish the sentence even when you know how it ends
overallSentiment,If they thank you, take it, don't wave it off with 'just doing my job'
overallSentiment,Talk about the bill like it's their money, because it is
overallSentiment,If they mention a hard week, one line of acknowledgment then help
overallSentiment,End with what happens next, certainty is what people actually want
positiveWord,Replace 'problem' with 'situation' - it sounds less negative
positiveWord,Say 'I'd be happy to help you with that' instead of 'I can help you'
positiveWord,Use 'absolutely' instead of 'yes' - it's more enthusiastic
positiveWord,Say 'Let me find that information' not 'I don't have that information'
positiveWord,Replace 'You need to' with 'The next step is' - sounds less demanding
positiveWord,Say 'I can' instead of 'I can't' - focus on what you CAN do
positiveWord,Say 'Let me get that handled for you' instead of 'Let me fix that problem'
positiveWord,Replace 'Your account shows' with 'I see here that' - sounds more collaborative
positiveWord,Say 'moving forward' instead of 'from now on' - sounds more optimistic
positiveWord,Say 'You're welcome - glad I could help' at the close
positiveWord,Use 'right away' instead of 'as soon as possible'
positiveWord,Say 'We will' instead of 'We'll try' - it sounds like a promise instead of a maybe
positiveWord,Use 'here's what I found' instead of 'it says here' - you're the expert not the screen
positiveWord,Say 'I'll take care of this' instead of 'I can put in a request'
positiveWord,Replace 'no worries' with 'completely understandable' - more sincere
positiveWord,Use 'I hear you' instead of 'I understand' - feels less scripted
positiveWord,Say 'I've got you' - warm confident language - when appropriate
positiveWord,Replace 'I will escalate' with 'I'll loop in my manager to get this resolved'
positiveWord,Use 'great' sparingly - repeated 'great' sounds fake - vary with 'got it' and 'perfect'
positiveWord,Avoid 'obviously' - customers don't like feeling talked down to
positiveWord,Say 'I noticed' instead of 'the system shows' - personal observation feels engaged
positiveWord,Use 'let's' - it makes customer a partner not a recipient
positiveWord,Say 'here's the plan' - gives the call structure and momentum
positiveWord,Use 'of course' instead of 'sure' - sounds more professional and warm
positiveWord,Start your greeting with positive words - reps scoring 100 on positive words open with 'Thank you for being a part of APS - my name is [your name] - how may I help you today?' then once the customer shares why they called respond with 'Absolutely I can definitely help with that'
positiveWord,'I can take care of that' beats 'that can be done'
positiveWord,'Here's what I'm seeing' is better than 'the account says'
positiveWord,'Let me get that set up for you' beats 'you'll need to set that up'
positiveWord,When there's good news, call it good news
positiveWord,'That's a fair question' works when they push back on an amount
positiveWord,Use 'we can' for anything you can start during the call
positiveWord,'Already done' beats 'I have gone ahead and processed that'
positiveWord,'You're all set' is worth saying out loud at the end
positiveWord,'Happy to look' beats 'let me check'
positiveWord,'My pleasure' and 'you bet' both land warm, and they keep every close from sounding the same
positiveWord,'Here's what that means for your next bill' turns a number into a plan
positiveWord,Use 'for you' often, it makes the action personal
positiveWord,'I've got the details right here' sounds prepared
positiveWord,'Thanks for catching that' if they spot something you missed
positiveWord,'Let's take a look together' invites them in
positiveWord,'That's set for the 20th' beats 'that should be fine'
positiveWord,'You'll see' rather than 'you should see'
positiveWord,Open the call sounding glad to be there, that carries further than the words do
negativeWord,Replace 'unfortunately' with 'what I can do is...' to focus on solutions
negativeWord,Never say 'I don't know' - say 'Great question let me find that answer for you'
negativeWord,Avoid 'but' - use 'and' or 'however' to sound less contradictory
negativeWord,Don't say 'That's not my department' - say 'Let me connect you with the right team'
negativeWord,Replace 'You'll have to' with 'The next step is' - sounds less harsh
negativeWord,Avoid 'policy won't allow' - say 'Here's what I can offer instead'
negativeWord,Don't say 'That's impossible' - say 'Let me see what options we have'
negativeWord,Replace 'You're wrong' with 'Let me clarify what happened here'
negativeWord,Avoid 'There's nothing I can do' - always offer SOMETHING even if small
negativeWord,Don't say 'You didn't' - say 'It looks like this step was missed'
negativeWord,Never say 'Calm down' - it escalates every time - say 'I'm going to help you'
negativeWord,Stop using 'just' - 'just click there' minimizes what customer is experiencing
negativeWord,Avoid 'actually' as a correction - it puts them on defensive
negativeWord,Don't say 'I hear you but' - the 'but' erases the 'I hear you'
negativeWord,Replace 'You should have' with 'Going forward here's what will work'
negativeWord,Avoid 'to be fair' - it signals you're about to argue
negativeWord,Don't say 'our policy states' - say 'here's what we can do' - same info less cold
negativeWord,Never say 'no one else has complained' - invalidates their experience
negativeWord,Avoid 'I'll try' - say 'I will' - commitment builds trust
negativeWord,Avoid 'there are no notes on this' - say what you can see and what you're doing next
negativeWord,Avoid 'as I already said' - repeating info isn't customer's fault
negativeWord,Don't say 'I can't' without immediately saying 'here's what I CAN do'
negativeWord,Replace 'you misunderstood' with 'let me say that more clearly'
negativeWord,Stop using filler sounds like 'umm' and 'uhh' - a silent pause is better
negativeWord,Drop 'should' and say what will happen
negativeWord,Don't say 'the system won't let me', say what you can do
negativeWord,Avoid 'that's just how the billing works', give them the actual reason
negativeWord,Never say 'you signed up for that', explain what they signed up for
negativeWord,Don't say 'everyone's bill went up', talk about theirs
negativeWord,Avoid 'you were supposed to', it's a scold
negativeWord,Don't say 'I don't see anything wrong', say what you do see
negativeWord,Drop 'like I said'
negativeWord,Avoid 'hopefully', either it will or you don't know yet
negativeWord,Don't say 'that is a lot' about someone's bill, they know
negativeWord,Avoid 'system error', say what happened and what you're doing about it
negativeWord,Don't say 'you'll have to call back', make the next step yours wherever you can
negativeWord,Drop 'at this time', it adds nothing
negativeWord,Never say 'I'm not able to' without a 'here's what I can' right behind it
negativeWord,Don't say 'it's only', nothing is only to the person paying it
negativeWord,Avoid 'we never', it starts an argument you can't win
negativeWord,Don't say 'that's your responsibility' unless you've already offered help
negativeWord,Skip 'obviously' and 'clearly', both tell them they should have known
managingEmotions,Take a 3-second breath before responding to frustrated customers
managingEmotions,Validate by naming the specific issue back to them - 'That double charge would frustrate me too' beats generic 'I understand your frustration'
managingEmotions,Lower your voice slightly when the customer raises theirs - it brings the temperature down
managingEmotions,Don't take angry words personally - they're frustrated with situation not you
managingEmotions,Stay solution-focused: 'I hear you - let me see what I can do to help'
managingEmotions,Acknowledge their feelings: 'I can tell this has been really frustrating for you'
managingEmotions,Give yourself 30 seconds between difficult calls to reset mentally
managingEmotions,If customer is yelling - let them vent for 20-30 seconds then redirect calmly
managingEmotions,Use 'we' language: 'Let's figure this out together' - creates partnership feeling
managingEmotions,If you're getting triggered - take a slow breath while the customer is still talking - don't add a hold to manage your own emotions
managingEmotions,After difficult calls - stand up and move - resets your nervous system
managingEmotions,Keep water at your desk - a sip creates a 3-second pause to regroup
managingEmotions,Develop a mental mantra: 'This is their bad day not mine'
managingEmotions,Don't check email or texts between calls on tough shifts - stay present
managingEmotions,Write down what went well each day - combats the negativity bias
managingEmotions,Pair up with a peer for venting sessions during breaks not during calls
managingEmotions,If you feel your voice tightening - take one slow breath before speaking
managingEmotions,Remind yourself you chose to be here today - it puts you back in the driver's seat instead of feeling like the shift is happening to you
managingEmotions,If a customer is abusive you don't have to take it - follow the steps for ending the call and tell your supe
managingEmotions,After swearing or yelling calls - talk to your supe for a reset - don't absorb it
managingEmotions,Practice 'name it to tame it' - notice 'I'm feeling frustrated' and intensity drops
managingEmotions,Use posture - sit up straight - body language affects voice tone
managingEmotions,If a call gets personal - redirect: 'Let's focus on the solution to X'
managingEmotions,End-of-shift: list 3 good things about your day - builds emotional resilience
managingEmotions,Have a finish-strong ritual for the last hour of shift - the tiredness is real
managingEmotions,A high bill brings real fear, that's what you're hearing, not anger at you
managingEmotions,Let the first thirty seconds be theirs, don't fix it yet
managingEmotions,If they're scared of a shut off, tell them what will actually happen, facts calm people
managingEmotions,Don't match their volume, match their urgency
managingEmotions,Your voice is the only thing they have, keep it steady even when theirs isn't
managingEmotions,If your heart rate is up, slow the sentence down and the rest follows
managingEmotions,Two hard calls back to back, take the thirty seconds in between
managingEmotions,It isn't personal even when the words are personal
managingEmotions,Say the hard part plainly, talking around it makes people more anxious
managingEmotions,If you're dreading the next call, that's the moment to stand up
managingEmotions,Don't carry the last call into this one, this customer didn't do it
managingEmotions,When someone cries, quiet is fine, then one steady sentence
managingEmotions,If you notice you're arguing, you've stopped helping, reset
managingEmotions,Keep one good call a week in your head for the days you need it
managingEmotions,If a shift breaks you a little, tell your supe before it ends, not next week
managingEmotions,You can't fix someone's money, you can be the calm part of their day
managingEmotions,If the same call type gets you every time, say that out loud to someone
managingEmotions,Panic and anger sound alike on the phone, treat the panic first
reliability,Review your Verint time entries to make sure you're marked correctly - coding errors can inflate your hours
reliability,Pre-schedule any planned time off in advance so it doesn't count against reliability
reliability,If time off is listed as Same Day use PTOST - you're given 40 hours of PTOST so use them
reliability,Alert your supervisor if you see any discrepancies in your reliability hours - they can investigate and get corrections made
reliability,If you have FMLA paperwork submit it proactively - don't wait for a covered absence
reliability,Track your own PTOST balance - don't assume the system tracks perfectly
reliability,Use scheduled PTO for appointments when possible - planned beats unplanned
reliability,If you're sick more than 2 consecutive days - check with HR about short-term leave
reliability,Keep documentation of any system outages - for adjustment requests
reliability,Know the difference between excused and occurrence absences in your policy
reliability,If transportation is an ongoing issue - talk to your supe about flex scheduling
reliability,Bundle medical appointments into single days when possible
reliability,If you're a parent - have a backup childcare plan so illness doesn't mean absence
reliability,Review your reliability score monthly - awareness prevents surprise in reviews
reliability,Flag a coding error as soon as you spot it - the longer it sits the harder it is to correct
reliability,Sign up for weather alerts - plan for storms before they become day-of scramble
reliability,Review the attendance policy once a year - rules change
reliability,If you need an accommodation - request it formally not informally
reliability,Keep a personal attendance journal - notice your own patterns
reliability,Put time off in as early as you can, planned time protects your number
reliability,If you know at 4am you can't make it, report it at 4am, not at start time
reliability,Check your hours after any unusual week, that's when coding goes wrong
reliability,Learn what counts and what doesn't before you need to know
reliability,Half a shift protects your number better than none of it
reliability,If your kid gets sick often, build the backup plan now, not that morning
reliability,Look at your own hours monthly, don't wait for a review to see them
reliability,Keep the confirmation for anything you submit
reliability,If you're out several days, start the paperwork on day one
reliability,If a system outage kept you off the phones, report it the same day
reliability,Learn the difference between PTO and PTOST before the morning you need it
reliability,Put appointments on days off where you can, the wait is worth it
reliability,If a shift is consistently hard to make, talk to your supe about the shift itself
reliability,One planned day off beats three unplanned hours
reliability,Don't assume a schedule change went through, go look
reliability,If you're close to a threshold, you should be the first to know that
cxRepOverall,Listen for the REAL issue behind the question - sometimes billing question is actually payment plan need
cxRepOverall,End every call with specific next steps - don't leave customer wondering what happens next
cxRepOverall,Follow up on promises - if you said you'd call back - call back
cxRepOverall,Take ownership of the customer's issue - don't pass the buck
cxRepOverall,Be proactive - if you see a potential issue on account - address it before they ask
cxRepOverall,Make customer feel heard - repeat back their concern to show you listened
cxRepOverall,Go one step beyond - if they ask about bill also mention upcoming due date
cxRepOverall,Show you care about resolution not just call completion
cxRepOverall,Use their communication style - if they're chatty engage - if they're rushed be efficient
cxRepOverall,End with confidence: 'You're all set - reach out if you need anything else'
cxRepOverall,Treat every call like it's your only call - rushed customers feel it
